!CSV A.01.01
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11
!Date: Wednesday, September 28, 2022 13:31:53
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S22(DB),S22(DEG)
1841000000,-9.5719995,155.12915
1845500000,-9.6745129,153.92842
1850000000,-9.977169,152.74863
1854500000,-10.021133,151.95399
1859000000,-9.932848,150.54243
1863500000,-9.8611479,148.6042
1868000000,-9.799181,148.08952
1872500000,-9.5487919,148.28192
1877000000,-9.3484373,147.82137
1881500000,-9.3513355,148.32103
1886000000,-9.2976789,150.02921
1890500000,-9.1708221,150.81204
1895000000,-9.2871923,150.55916
1899500000,-9.4299431,151.11932
1904000000,-9.4300785,151.57909
1908500000,-9.4217224,150.55984
1913000000,-9.5292578,149.4989
1917500000,-9.5016193,149.53073
1922000000,-9.3352423,149.55644
1926500000,-9.2394476,148.90143
1931000000,-9.2252331,149.14789
1935500000,-9.1392136,150.48396
1940000000,-9.0518742,151.16251
1944500000,-9.186018,151.23462
1949000000,-9.3812408,151.96165
1953500000,-9.4355135,152.35919
1958000000,-9.5733242,150.95313
1962500000,-9.8567791,149.76743
1967000000,-9.8561602,149.12117
1971500000,-9.7282686,147.16948
1976000000,-9.6405249,145.45685
1980500000,-9.5836353,145.24933
1985000000,-9.3314009,145.73692
1989500000,-9.1153717,145.52325
1994000000,-9.1470585,146.04813
1998500000,-9.0704603,147.59195
2003000000,-8.9687223,148.22963
2007500000,-9.0911493,148.07756
2012000000,-9.2499437,148.65594
2016500000,-9.2583237,148.93457
2021000000,-9.213377,147.73935
2025500000,-9.2746267,146.73389
2030000000,-9.2154865,146.85257
2034500000,-8.9603252,146.76779
2039000000,-8.9202662,146.24008
2043500000,-8.9112015,147.19505
2048000000,-8.8379469,148.84048
2052500000,-8.7793751,149.37918
2057000000,-8.9603062,149.44771
2061500000,-9.140357,150.33481
2066000000,-9.19699,150.11331
2070500000,-9.3693228,148.41254
2075000000,-9.5890675,147.38164
2079500000,-9.5255699,146.58989
2084000000,-9.347374,144.66917
2088500000,-9.2788544,143.39574
2093000000,-9.1795321,143.49051
2097500000,-8.9064016,143.97821
2102000000,-8.7561693,143.71663
2106500000,-8.7842388,144.1918
2111000000,-8.7535725,145.83173
2115500000,-8.603282,146.11703
2120000000,-8.7409964,146.06554
2124500000,-8.8887091,146.37079
2129000000,-8.7996283,146.59406
2133500000,-8.7244835,145.33652
2138000000,-8.7712564,144.54906
2142500000,-8.6810503,144.84926
2147000000,-8.440033,144.80098
2151500000,-8.3538284,144.63376
2156000000,-8.3571606,145.46899
2160500000,-8.2880774,146.85533
2165000000,-8.2105227,146.98691
2169500000,-8.3725262,147.1413
2174000000,-8.5828638,147.56216
2178500000,-8.6251307,147.44797
2183000000,-8.7441235,145.77332
2187500000,-8.9108763,144.13921
2192000000,-8.8537159,143.30623
2196500000,-8.6690569,141.73517
2201000000,-8.6139698,140.07796
2205500000,-8.4927588,140.3141
2210000000,-8.2541971,140.87674
2214500000,-8.1203709,140.70284
2219000000,-8.1359177,141.09033
2223500000,-8.1342621,142.46927
2228000000,-8.0943794,142.39714
2232500000,-8.2061024,141.74725
2237000000,-8.3143568,142.06844
2241500000,-8.2231426,141.47276
2246000000,-8.1440926,140.32614
2250500000,-8.1522312,139.59088
2255000000,-8.0345402,139.86766
2259500000,-7.8308997,139.88211
2264000000,-7.7824087,140.05508
2268500000,-7.8254862,141.16866
2273000000,-7.7777834,142.43817
2277500000,-7.8056378,142.50108
2282000000,-8.0074263,142.40492
2286500000,-8.2190809,142.69739
2291000000,-8.2417822,141.92262
2295500000,-8.340539,140.00882
2300000000,-8.4889593,138.69359
2304500000,-8.3837805,138.11053
2309000000,-8.2174845,136.85915
2313500000,-8.1737003,135.67213
2318000000,-8.0776739,136.24661
2322500000,-7.8588777,136.48438
2327000000,-7.7888947,136.18817
2331500000,-7.9071865,137.03502
