!CSV A.01.01,,,
!Agilent Technologies,E8361C,US49010233,A.09.22.11
!Agilent E8361C: A.09.22.11,,,
!Date: Wednesday, September 28, 2022 12:23:13,
!Source: Standard,,,
,,,
BEGIN CH1_DATA,,,
Freq(Hz),S22(DB),S22(DEG),
1643000000,-21.480354,102.84019,
1647500000,-21.263838,103.32299,
1652000000,-21.23168,104.21925,
1656500000,-21.386856,105.53452,
1661000000,-21.470028,106.95341,
1665500000,-21.645082,106.4877,
1670000000,-22.021568,104.45065,
1674500000,-22.0784,101.58478,
1679000000,-21.766266,97.970383,
1683500000,-21.099981,94.336403,
1688000000,-20.482426,91.873581,
1692500000,-19.585812,91.625519,
1697000000,-18.645414,92.462685,
1701500000,-17.975937,94.21418,
1706000000,-17.544579,96.924347,
1710500000,-16.946449,100.47272,
1715000000,-16.661087,102.89101,
1719500000,-16.597387,105.20094,
1724000000,-16.691908,107.77919,
1728500000,-16.70945,109.35652,
1733000000,-16.88011,108.48779,
1737500000,-17.119183,108.0985,
1742000000,-17.109827,107.59529,
1746500000,-16.982975,105.15799,
1751000000,-16.981888,103.63176,
1755500000,-16.931623,103.82288,
1760000000,-16.756376,104.06256,
1764500000,-16.766556,103.45366,
1769000000,-16.979731,103.80461,
1773500000,-17.065859,104.27715,
1778000000,-17.098137,102.07234,
1782500000,-17.409124,98.720169,
1787000000,-17.487871,95.60218,
1791500000,-17.075123,91.485703,
1796000000,-16.539911,86.965683,
1800500000,-16.095491,84.204597,
1805000000,-15.463032,83.856552,
1809500000,-14.793093,84.177483,
1814000000,-14.334226,84.482529,
1818500000,-14.11994,86.327316,
1823000000,-13.894514,88.367004,
1827500000,-13.76973,89.007324,
1832000000,-13.980722,89.141029,
1836500000,-14.165184,89.881134,
1841000000,-14.245403,89.424248,
1845500000,-14.385724,87.392288,
1850000000,-14.652097,85.798965,
1854500000,-14.600909,85.374146,
1859000000,-14.572604,83.793671,
1863500000,-14.678154,82.254128,
1868000000,-14.850273,82.384933,
1872500000,-14.870845,82.235069,
1877000000,-15.041843,80.605881,
1881500000,-15.475821,78.975212,
1886000000,-15.802917,78.247856,
1890500000,-15.923538,74.993736,
1895000000,-16.040083,70.270203,
1899500000,-16.02655,67.25721,
1904000000,-15.667311,64.868675,
1908500000,-15.151157,62.01482,
1913000000,-14.742441,61.058983,
1917500000,-14.320931,61.923546,
1922000000,-13.947146,63.224754,
1926500000,-13.649488,64.417381,
1931000000,-13.543502,65.855141,
1935500000,-13.529178,68.362076,
1940000000,-13.526817,69.284035,
1944500000,-13.759929,68.973701,
1949000000,-14.000741,69.276001,
1953500000,-14.09437,68.343269,
1958000000,-14.214891,66.213509,
1962500000,-14.333652,64.397903,
1967000000,-14.346953,63.475941,
1971500000,-14.197772,61.881557,
1976000000,-14.25841,60.306023,
1980500000,-14.477152,60.031475,
1985000000,-14.611108,58.804214,
1989500000,-14.895525,56.133598,
1994000000,-15.202734,52.151108,
1998500000,-15.48357,47.584354,
2003000000,-15.512309,42.371536,
2007500000,-15.365282,36.259441,
2012000000,-15.093151,31.431612,
2016500000,-14.730724,28.341805,
2021000000,-14.327278,26.565294,
2025500000,-14.14092,26.144381,
2030000000,-14.051183,26.419245,
2034500000,-14.204897,28.006403,
2039000000,-14.480597,29.123278,
2043500000,-14.943323,30.124331,
2048000000,-15.504591,30.657509,
2052500000,-16.114012,30.304949,
2057000000,-16.81744,29.400246,
2061500000,-17.552629,27.046703,
2066000000,-18.162094,25.467318,
2070500000,-18.778706,23.605406,
2075000000,-19.444475,22.719477,
2079500000,-20.281342,22.92267,
2084000000,-21.111727,24.080074,
2088500000,-22.083811,25.398542,
2093000000,-23.280836,26.384239,
2097500000,-24.721447,25.898088,
2102000000,-25.848289,21.575531,
2106500000,-27.009504,14.124714,
2111000000,-27.307646,3.6935785,
2115500000,-27.09726,-5.0746646,
2120000000,-26.0133,-7.5164685,
2124500000,-24.984976,-5.7658997,
2129000000,-23.994785,-1.1070038,
2133500000,-23.356398,6.4486041,
2138000000,-22.572952,13.714731,
2142500000,-22.099007,21.552832,
2147000000,-21.984283,30.965021,
2151500000,-21.893343,38.279072,
2156000000,-22.250099,46.931763,
2160500000,-22.455982,53.156265,
2165000000,-22.768894,59.230751,
2169500000,-23.326452,62.822296,
2174000000,-23.776342,66.172684,
2178500000,-24.062702,68.47139,
2183000000,-24.260212,70.547012,
2187500000,-24.380848,73.38031,
2192000000,-24.278845,78.338539,
2196500000,-24.192368,82.603683,
2201000000,-24.469776,88.235153,
2205500000,-24.85133,95.037796,
2210000000,-25.785484,102.24361,
2214500000,-26.985342,108.28765,
2219000000,-28.99353,115.35394,
2223500000,-31.663816,116.355,
2228000000,-34.988487,105.32626,
2232500000,-37.173153,68.36438,
2237000000,-33.790489,42.843147,
2241500000,-29.91498,36.914074,
2246000000,-27.229601,38.479851,
2250500000,-25.431721,43.555653,
2255000000,-24.268127,50.215008,
2259500000,-23.446066,57.041962,
2264000000,-23.073986,63.250633,
2268500000,-22.958853,69.988411,
2273000000,-22.856268,77.380417,
2277500000,-22.770454,82.396317,
